epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,461.25,0.83384,2.56948,1.12421,0.5472,0.54387,0.5157,0.45215,1.20697,5.88654,1.40641,0.000245075,0.000245075,0.000245075
105,674.733,0.79041,2.39273,1.0895,0.58222,0.44912,0.50901,0.40126,1.23132,5.58172,1.41309,0.0002426,0.0002426,0.0002426
106,907.716,0.79658,2.34823,1.09916,0.56984,0.64958,0.61512,0.4949,1.22987,5.24681,1.41806,0.000240125,0.000240125,0.000240125
107,1126.36,0.80472,2.41338,1.10013,0.59673,0.44744,0.51799,0.41181,1.27775,5.02845,1.4483,0.00023765,0.00023765,0.00023765
108,1373.2,0.81813,2.34786,1.09146,0.63017,0.6829,0.63951,0.51279,1.20583,5.23435,1.40119,0.000235175,0.000235175,0.000235175
109,1683.04,0.76442,2.26827,1.07422,0.62568,0.68458,0.64246,0.50837,1.24842,5.77474,1.37537,0.0002327,0.0002327,0.0002327
110,2004.94,0.76964,2.38575,1.08446,0.65084,0.3586,0.47826,0.39495,1.27633,5.64702,1.36648,0.000230225,0.000230225,0.000230225
111,2330.79,0.79757,2.36168,1.0951,0.7134,0.45903,0.54637,0.42581,1.27091,5.64568,1.40449,0.00022775,0.00022775,0.00022775
112,2613.2,0.75387,2.21596,1.05451,0.70938,0.56228,0.58189,0.46358,1.17161,5.45411,1.39436,0.000225275,0.000225275,0.000225275
113,3053.96,0.74498,2.19965,1.05697,0.71315,0.45912,0.53063,0.4547,1.16402,5.2344,1.35706,0.0002228,0.0002228,0.0002228
114,3467.4,0.78962,2.35681,1.08065,0.73718,0.38938,0.52126,0.41266,1.18511,5.48351,1.34944,0.000220325,0.000220325,0.000220325
115,3852.62,0.73256,2.16584,1.04437,0.70963,0.42422,0.53025,0.42209,1.15855,5.63647,1.32318,0.00021785,0.00021785,0.00021785
116,4192.06,0.73917,2.20109,1.04513,0.63168,0.58316,0.5758,0.45482,1.12875,5.78709,1.31979,0.000215375,0.000215375,0.000215375
117,4511.43,0.75152,2.19699,1.0557,0.60288,0.64437,0.59788,0.47574,1.18049,5.75182,1.32542,0.0002129,0.0002129,0.0002129
118,4836.04,0.74718,2.16692,1.0479,0.65174,0.44901,0.54921,0.4495,1.14221,5.57195,1.30775,0.000210425,0.000210425,0.000210425
119,5164.31,0.73808,2.14645,1.03511,0.64057,0.72484,0.67403,0.52751,1.17961,5.58324,1.35167,0.00020795,0.00020795,0.00020795
120,5524.62,0.72499,2.14087,1.05728,0.63758,0.32038,0.47953,0.39152,1.19951,5.51844,1.37927,0.000205475,0.000205475,0.000205475
121,5891.66,0.71571,2.11333,1.04222,0.66443,0.5502,0.58392,0.44917,1.26896,5.62288,1.44799,0.000203,0.000203,0.000203
122,6322.98,0.71526,2.15503,1.03219,0.6483,0.5434,0.56946,0.44579,1.28863,5.83302,1.46397,0.000200525,0.000200525,0.000200525
123,6920.19,0.72966,2.15212,1.04933,0.65697,0.61121,0.61205,0.46707,1.27466,6.03189,1.46525,0.00019805,0.00019805,0.00019805
124,7408.59,0.72767,2.22109,1.02389,0.64977,0.66869,0.63692,0.50241,1.32049,6.09925,1.46411,0.000195575,0.000195575,0.000195575
125,7861.29,0.73808,2.1563,1.04883,0.63936,0.61137,0.58422,0.47317,1.2058,5.83187,1.3869,0.0001931,0.0001931,0.0001931
126,8436.19,0.71416,2.12425,1.01814,0.69178,0.66566,0.63349,0.52457,1.1624,5.55887,1.3556,0.000190625,0.000190625,0.000190625
127,8969.13,0.72415,2.08273,1.03013,0.72509,0.68902,0.64373,0.52815,1.181,5.18526,1.39049,0.00018815,0.00018815,0.00018815
128,9466.9,0.74129,2.16502,1.06234,0.67595,0.70471,0.63511,0.52561,1.17117,5.2555,1.39487,0.000185675,0.000185675,0.000185675
129,10349.3,0.74339,2.17223,1.04138,0.70674,0.60396,0.59863,0.48728,1.19501,5.39626,1.41056,0.0001832,0.0001832,0.0001832
130,11123.8,0.70068,2.00019,1.02183,0.69152,0.66787,0.63509,0.51553,1.17396,5.61035,1.3542,0.000180725,0.000180725,0.000180725
131,11740.5,0.70843,2.03755,1.01657,0.68024,0.67267,0.63426,0.51773,1.18815,5.80106,1.34534,0.00017825,0.00017825,0.00017825
132,12493.6,0.7213,2.11141,1.02078,0.65693,0.3421,0.47374,0.40237,1.16288,5.61822,1.34376,0.000175775,0.000175775,0.000175775
133,110.311,0.73621,2.3607,1.04188,0.61284,0.63561,0.60359,0.49654,1.15522,5.58112,1.35901,0.0001733,0.0001733,0.0001733
134,243.781,0.72698,2.23133,1.03448,0.66589,0.62516,0.59921,0.50027,1.1801,5.01881,1.41792,0.000170825,0.000170825,0.000170825
135,439.258,0.75908,2.2564,1.05065,0.73352,0.50819,0.58889,0.45274,1.21776,5.09645,1.41947,0.00016835,0.00016835,0.00016835
136,623.212,0.70835,2.09792,1.02058,0.70393,0.58912,0.62486,0.48872,1.18661,5.05941,1.38344,0.000165875,0.000165875,0.000165875
137,839.656,0.71659,2.0716,1.04327,0.7101,0.69477,0.65829,0.52239,1.21303,5.08725,1.36921,0.0001634,0.0001634,0.0001634
138,1024.04,0.72531,2.17259,1.03765,0.80318,0.4989,0.60393,0.46579,1.24584,5.28727,1.42748,0.000160925,0.000160925,0.000160925
139,1295.55,0.72376,2.06592,1.02238,0.60423,0.50246,0.54928,0.42043,1.2424,5.47339,1.42921,0.00015845,0.00015845,0.00015845
140,1612.15,0.69376,2.04852,1.0174,0.65931,0.60134,0.62656,0.46929,1.24603,5.68608,1.43147,0.000155975,0.000155975,0.000155975
141,1883.18,0.70434,2.05155,1.0305,0.6764,0.43069,0.54114,0.4484,1.25857,5.53291,1.41444,0.0001535,0.0001535,0.0001535
142,2145.67,0.71455,2.04062,1.03895,0.64874,0.73771,0.68859,0.53401,1.23843,5.54228,1.39372,0.000151025,0.000151025,0.000151025
143,2392.06,0.67884,1.90571,0.99853,0.69977,0.73333,0.69128,0.52802,1.25145,5.59248,1.39526,0.00014855,0.00014855,0.00014855
144,2689.99,0.67147,1.93482,1.00084,0.72798,0.61453,0.65067,0.49994,1.2109,5.42451,1.40365,0.000146075,0.000146075,0.000146075
145,3002.1,0.71549,2.01885,1.02188,0.69533,0.49773,0.56834,0.43296,1.17848,5.16497,1.36449,0.0001436,0.0001436,0.0001436
146,3312.86,0.66894,1.91101,0.99716,0.67283,0.46115,0.54386,0.43802,1.18837,5.26258,1.36287,0.000141125,0.000141125,0.000141125
147,3618.64,0.68132,1.95997,1.00464,0.68041,0.48089,0.54237,0.44127,1.18373,5.51049,1.37182,0.00013865,0.00013865,0.00013865
148,3928.08,0.67426,1.92668,1.00196,0.68381,0.61082,0.63145,0.49793,1.17083,5.57677,1.38656,0.000136175,0.000136175,0.000136175
149,4237.91,0.67546,1.8606,1.00548,0.67425,0.66222,0.65759,0.532,1.16,5.61535,1.38957,0.0001337,0.0001337,0.0001337
150,4549.8,0.65696,1.86772,0.99058,0.6736,0.61185,0.62572,0.50284,1.15777,5.69338,1.38068,0.000131225,0.000131225,0.000131225
151,4883.79,0.66117,1.84684,1.01387,0.70731,0.61546,0.6336,0.50286,1.19134,5.68617,1.42614,0.00012875,0.00012875,0.00012875
152,5318.5,0.63949,1.81761,0.99487,0.71442,0.60363,0.62154,0.4932,1.17503,5.58943,1.42658,0.000126275,0.000126275,0.000126275
153,5741.05,0.6408,1.85833,0.99022,0.72971,0.67563,0.66987,0.54101,1.1588,5.57021,1.39387,0.0001238,0.0001238,0.0001238
154,6225.35,0.65618,1.85662,1.01394,0.71181,0.68956,0.66391,0.53866,1.15916,5.66715,1.36421,0.000121325,0.000121325,0.000121325
155,6864.33,0.6571,1.86603,0.9811,0.72432,0.70206,0.66815,0.53597,1.19659,5.79214,1.40109,0.00011885,0.00011885,0.00011885
156,7374.64,0.65654,1.87617,1.01001,0.72083,0.71347,0.67597,0.54124,1.21369,5.68099,1.40479,0.000116375,0.000116375,0.000116375
